loan_amnt,annual_inc,open_acc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,term,grade,emp_length,home_ownership,purpose,defaulted
10000.0,49200.0,10.0,20.0,0.0,1.0,35.0,0.0,5598.0,21.0,37.0,0.0,36,C,10,RENT,other,False
3000.0,80000.0,15.0,17.94,0.0,0.0,38.0,0.0,27783.0,53.9,38.0,0.0,60,B,1,RENT,other,False
6000.0,84000.0,4.0,18.44,2.0,0.0,8.0,0.0,0.0,37.73,14.0,0.0,36,B,1,MORTGAGE,medical,False
5000.0,50004.0,14.0,13.97,3.0,0.0,20.0,0.0,4345.0,59.5,22.0,0.0,60,D,2,RENT,other,True
5000.0,24044.0,8.0,11.93,0.0,0.0,45.0,0.0,2224.0,29.3,16.0,0.0,36,A,2,RENT,debt_consolidation,False
12000.0,62300.0,15.0,16.7,0.0,0.0,38.0,0.0,8601.0,21.0,25.0,0.0,36,A,10,RENT,debt_consolidation,False
14000.0,80000.0,7.0,10.0,0.0,1.0,45.0,0.0,2219.0,13.4,40.0,0.0,36,B,6,RENT,small_business,False
6400.0,75000.0,9.0,20.22,0.0,0.0,48.0,0.0,7159.0,67.5,27.0,0.0,36,D,5,RENT,debt_consolidation,True
18000.0,65000.0,10.0,6.81,0.0,0.0,25.0,0.0,11745.0,77.8,40.0,0.0,60,E,10,MORTGAGE,debt_consolidation,False
7000.0,35000.0,10.0,11.35,0.0,2.0,53.0,0.0,7649.0,82.3,26.0,0.0,36,B,10,RENT,credit_card,False
7000.0,43680.0,7.0,5.38,0.0,0.0,39.0,0.0,6245.0,78.1,11.0,0.0,36,B,3,MORTGAGE,credit_card,False
10500.0,66000.0,8.0,20.73,1.0,2.0,10.0,0.0,5790.0,51.2,26.0,0.0,36,B,10,RENT,medical,False
3500.0,83000.0,6.0,2.31,0.0,0.0,35.0,0.0,3092.0,13.4,28.0,0.0,36,A,10,MORTGAGE,car,False
6000.0,81000.0,6.0,13.66,1.0,0.0,20.0,0.0,15102.0,50.0,17.0,0.0,60,B,0,RENT,major_purchase,False
12000.0,126000.0,17.0,13.32,0.0,0.0,74.0,0.0,32711.0,54.1,38.0,0.0,36,B,2,MORTGAGE,debt_consolidation,False
25000.0,67000.0,6.0,14.15,0.0,0.0,28.0,0.0,15319.0,91.2,21.0,0.0,60,C,10,MORTGAGE,credit_card,True
19750.0,45000.0,12.0,22.8,0.0,0.0,56.0,0.0,16576.0,54.2,28.0,0.0,36,B,4,RENT,debt_consolidation,True
13650.0,66000.0,11.0,24.09,0.0,0.0,74.0,0.0,8933.0,56.5,34.0,0.0,36,B,4,RENT,debt_consolidation,False
4200.0,53000.0,15.0,16.91,0.0,0.0,60.0,0.0,8336.0,79.7,22.0,0.0,36,B,2,RENT,other,False
16000.0,55000.0,8.0,15.8,0.0,0.0,54.0,0.0,7743.0,72.4,19.0,0.0,60,E,4,RENT,debt_consolidation,False
21600.0,60000.0,6.0,16.74,1.0,0.0,23.0,0.0,13354.0,78.1,21.0,0.0,60,E,8,MORTGAGE,debt_consolidation,False
6000.0,87000.0,12.0,12.86,2.0,0.0,9.0,0.0,11739.0,40.5,22.0,0.0,36,B,6,MORTGAGE,home_improvement,False
10000.0,45900.0,10.0,24.97,0.0,2.0,45.0,0.0,8936.0,48.3,12.0,0.0,36,C,2,RENT,small_business,False
7325.0,42000.0,12.0,22.57,0.0,3.0,65.0,0.0,7281.0,65.0,29.0,0.0,36,B,1,RENT,debt_consolidation,False
7750.0,24000.0,4.0,16.1,0.0,1.0,41.0,0.0,2348.0,67.1,7.0,0.0,36,D,0,RENT,debt_consolidation,True
11000.0,129000.0,10.0,10.94,0.0,0.0,80.0,0.0,1735.0,24.1,31.0,0.0,60,C,10,MORTGAGE,debt_consolidation,False
12000.0,105000.0,10.0,13.98,0.0,1.0,65.0,0.0,11243.0,75.0,25.0,0.0,36,B,9,MORTGAGE,credit_card,False
14400.0,60000.0,15.0,16.92,0.0,1.0,57.0,0.0,23317.0,65.0,26.0,0.0,36,C,10,MORTGAGE,debt_consolidation,False
1500.0,144000.0,6.0,8.23,1.0,0.0,14.0,0.0,14186.0,97.8,14.0,0.0,36,D,10,MORTGAGE,debt_consolidation,False
2500.0,29000.0,5.0,18.7,0.0,0.0,63.0,0.0,2668.0,66.7,13.0,0.0,36,B,7,MORTGAGE,debt_consolidation,False
3500.0,61440.0,6.0,6.46,1.0,0.0,9.0,0.0,15472.0,55.5,19.0,0.0,36,A,7,MORTGAGE,vacation,False
18825.0,44000.0,9.0,24.98,0.0,0.0,65.0,0.0,14092.0,93.2,20.0,0.0,60,D,4,MORTGAGE,debt_consolidation,False
5500.0,59000.0,10.0,6.65,0.0,0.0,35.0,1.0,9130.0,43.3,23.0,0.0,36,A,10,OWN,car,False
10000.0,50000.0,5.0,5.88,1.0,2.0,13.0,0.0,8899.0,47.6,15.0,0.0,36,C,10,MORTGAGE,credit_card,False
12000.0,40000.0,12.0,9.45,0.0,0.0,73.0,0.0,13756.0,37.4,20.0,0.0,36,A,7,OWN,debt_consolidation,False
13250.0,52000.0,8.0,23.7,0.0,0.0,70.0,0.0,15002.0,91.5,18.0,0.0,36,D,10,RENT,debt_consolidation,False
6000.0,36000.0,5.0,14.43,0.0,1.0,29.0,0.0,13626.0,48.5,9.0,0.0,36,B,10,RENT,other,False
10000.0,43000.0,13.0,11.58,0.0,0.0,51.0,0.0,13034.0,65.5,33.0,0.0,36,B,10,RENT,credit_card,False
8000.0,150000.0,5.0,2.48,1.0,0.0,5.0,0.0,9722.0,56.2,8.0,0.0,36,B,1,RENT,credit_card,False
25000.0,61500.0,11.0,12.6,1.0,0.0,22.0,0.0,24278.0,60.8,25.0,0.0,60,E,10,RENT,debt_consolidation,True
20000.0,50000.0,6.0,4.34,0.0,1.0,28.0,0.0,6855.0,52.7,12.0,0.0,36,C,10,MORTGAGE,other,False
10000.0,84000.0,8.0,13.87,0.0,0.0,55.0,0.0,6046.0,68.7,10.0,0.0,36,C,3,RENT,debt_consolidation,False
35000.0,208000.0,11.0,7.94,0.0,0.0,24.0,0.0,3761.0,23.5,79.0,0.0,60,D,8,MORTGAGE,debt_consolidation,False
8250.0,35004.0,13.0,15.6,2.0,1.0,2.0,0.0,4479.0,7.7,21.0,0.0,60,C,2,MORTGAGE,home_improvement,False
22000.0,73000.0,16.0,22.47,0.0,1.0,30.0,0.0,26721.0,85.1,32.0,0.0,36,C,5,MORTGAGE,debt_consolidation,False
16000.0,54000.0,9.0,16.89,0.0,0.0,52.0,0.0,13771.0,56.2,22.0,0.0,60,E,8,MORTGAGE,home_improvement,False
21500.0,59000.0,13.0,22.86,0.0,1.0,75.0,0.0,18723.0,81.8,16.0,0.0,60,D,2,OWN,debt_consolidation,False
9000.0,45000.0,21.0,17.01,1.0,1.0,20.0,1.0,10464.0,50.0,51.0,1.0,36,C,4,RENT,debt_consolidation,False
17000.0,65000.0,11.0,16.84,0.0,2.0,33.0,0.0,12923.0,62.7,16.0,0.0,60,C,8,RENT,debt_consolidation,False
5800.0,36000.0,9.0,21.67,0.0,1.0,38.0,0.0,6558.0,66.9,20.0,0.0,36,B,3,RENT,debt_consolidation,False
10000.0,50000.0,11.0,19.06,0.0,0.0,69.0,0.0,10898.0,88.6,28.0,0.0,36,B,4,RENT,credit_card,False
25000.0,85000.0,7.0,17.15,1.0,1.0,18.0,0.0,15814.0,87.9,19.0,0.0,60,E,3,MORTGAGE,credit_card,False
35000.0,105000.0,9.0,16.53,0.0,0.0,43.0,0.0,15523.0,25.0,38.0,0.0,60,B,9,MORTGAGE,home_improvement,False
4125.0,36000.0,5.0,17.73,0.0,4.0,38.0,0.0,5346.0,37.6,21.0,0.0,60,B,10,MORTGAGE,car,False
9800.0,67000.0,14.0,21.01,0.0,2.0,39.0,0.0,21366.0,44.9,18.0,0.0,36,D,4,RENT,credit_card,False
12000.0,54000.0,10.0,17.07,0.0,1.0,56.0,0.0,15723.0,61.0,34.0,0.0,36,C,4,MORTGAGE,debt_consolidation,False
8000.0,50000.0,10.0,16.34,1.0,1.0,21.0,0.0,7634.0,81.2,18.0,0.0,36,C,10,RENT,credit_card,False
20000.0,60000.0,13.0,9.46,0.0,2.0,28.0,0.0,16326.0,41.0,30.0,0.0,60,D,10,RENT,debt_consolidation,True
18800.0,82000.0,14.0,13.76,1.0,0.0,11.0,0.0,14477.0,17.3,24.0,0.0,36,A,3,MORTGAGE,debt_consolidation,False
4000.0,35000.0,7.0,9.22,0.0,0.0,44.0,0.0,8247.0,83.5,13.0,0.0,36,D,4,RENT,debt_consolidation,False
11300.0,36000.0,9.0,16.33,0.0,1.0,79.0,0.0,18905.0,74.7,22.0,0.0,36,B,7,MORTGAGE,credit_card,False
6000.0,47000.0,8.0,14.43,0.0,3.0,78.0,0.0,3917.0,31.4,14.0,0.0,36,A,7,RENT,other,False
4200.0,43000.0,9.0,10.13,0.0,1.0,82.0,0.0,8843.0,77.0,19.0,0.0,60,D,9,RENT,debt_consolidation,True
5400.0,75000.0,6.0,8.8,0.0,0.0,31.0,0.0,10376.0,68.7,33.0,0.0,36,B,10,MORTGAGE,car,False
15000.0,110000.0,12.0,21.99,2.0,0.0,4.0,0.0,40370.0,84.1,24.0,0.0,36,D,1,RENT,small_business,True
15000.0,66000.0,10.0,8.49,2.0,2.0,9.0,0.0,17258.0,89.1,28.0,0.0,36,D,10,MORTGAGE,debt_consolidation,False
6000.0,62691.0,5.0,3.16,0.0,0.0,43.0,0.0,6704.0,94.4,19.0,0.0,36,C,10,OWN,major_purchase,False
35000.0,85000.0,10.0,16.39,0.0,2.0,82.0,0.0,18515.0,76.5,40.0,0.0,60,E,3,OWN,debt_consolidation,True
12000.0,40000.0,15.0,16.2,0.0,2.0,72.0,0.0,14582.0,74.4,27.0,0.0,36,C,10,MORTGAGE,debt_consolidation,False
21250.0,37000.0,8.0,14.27,0.0,1.0,68.0,0.0,14899.0,69.3,21.0,0.0,36,B,5,RENT,other,True
6000.0,31000.0,5.0,20.13,0.0,1.0,51.0,0.0,7996.0,93.0,14.0,0.0,60,E,5,OWN,debt_consolidation,False
4000.0,30000.0,8.0,17.6,0.0,1.0,48.0,0.0,1296.0,5.5,20.0,0.0,36,B,6,RENT,home_improvement,True
13000.0,50000.0,13.0,20.11,0.0,0.0,78.0,0.0,13810.0,40.6,15.0,0.0,36,B,10,MORTGAGE,debt_consolidation,False
5000.0,98000.0,11.0,19.63,0.0,1.0,52.0,0.0,32705.0,53.3,14.0,0.0,36,C,7,OWN,credit_card,False
18000.0,96000.0,16.0,16.4,0.0,0.0,70.0,0.0,14828.0,46.6,37.0,0.0,36,C,8,MORTGAGE,debt_consolidation,False
7000.0,52000.0,11.0,18.16,0.0,0.0,57.0,0.0,4170.0,94.8,13.0,0.0,36,B,3,RENT,other,False
2400.0,59393.0,12.0,13.7,0.0,1.0,50.0,1.0,3265.0,44.1,18.0,0.0,36,B,4,MORTGAGE,medical,False
18500.0,68000.0,12.0,20.89,0.0,0.0,39.0,0.0,31962.0,87.8,35.0,0.0,60,E,10,MORTGAGE,debt_consolidation,False
1800.0,117000.0,5.0,15.86,0.0,0.0,26.0,0.0,11180.0,60.8,34.0,0.0,36,B,7,RENT,other,False
8000.0,48000.0,10.0,15.33,2.0,2.0,9.0,0.0,4384.0,38.5,15.0,0.0,36,B,5,RENT,car,False
12375.0,40000.0,27.0,20.88,0.0,0.0,78.0,0.0,13768.0,22.5,31.0,0.0,60,G,5,RENT,other,True
9600.0,156000.0,16.0,15.54,0.0,3.0,35.0,0.0,1679.0,18.9,18.0,0.0,36,C,6,MORTGAGE,home_improvement,False
16950.0,50000.0,12.0,14.47,0.0,1.0,56.0,0.0,32164.0,78.5,23.0,0.0,60,D,10,MORTGAGE,debt_consolidation,False
10800.0,110000.0,10.0,2.67,0.0,0.0,41.0,0.0,7045.0,69.1,21.0,0.0,36,C,6,MORTGAGE,credit_card,False
22400.0,85000.0,14.0,7.02,2.0,1.0,14.0,0.0,13773.0,58.7,16.0,0.0,60,G,6,RENT,credit_card,True
6000.0,30000.0,4.0,7.2,0.0,0.0,38.0,0.0,5802.0,72.5,7.0,0.0,36,B,4,RENT,credit_card,False
27050.0,65000.0,12.0,19.75,0.0,0.0,68.0,0.0,26469.0,80.2,29.0,0.0,60,E,5,MORTGAGE,debt_consolidation,False
12000.0,30000.0,8.0,18.76,1.0,0.0,12.0,0.0,8382.0,98.6,13.0,0.0,60,E,1,RENT,debt_consolidation,False
13000.0,65000.0,18.0,17.11,0.0,2.0,73.0,0.0,11036.0,81.1,32.0,0.0,36,C,6,RENT,debt_consolidation,False
7600.0,50000.0,13.0,6.29,0.0,0.0,68.0,1.0,8646.0,40.6,27.0,0.0,60,D,5,OWN,small_business,False
3600.0,44004.0,3.0,5.59,1.0,1.0,2.0,0.0,8095.0,75.7,4.0,0.0,36,D,7,MORTGAGE,other,False
