loan_amnt,annual_inc,open_acc,dti,delinq_2yrs,inq_last_6mths,revol_util,emp_length,defaulted,term_5yrs,has_bankruptcy
10000.0,49200.0,10.0,20.0,0.0,1.0,21.0,10.0,False,False,False
3000.0,80000.0,15.0,17.94,0.0,0.0,53.9,1.0,False,True,False
6000.0,84000.0,4.0,18.44,2.0,0.0,37.73,1.0,False,False,False
5000.0,50004.0,14.0,13.97,3.0,0.0,59.5,2.0,True,True,False
5000.0,24044.0,8.0,11.93,0.0,0.0,29.3,2.0,False,False,False
12000.0,62300.0,15.0,16.7,0.0,0.0,21.0,10.0,False,False,False
14000.0,80000.0,7.0,10.0,0.0,1.0,13.4,6.0,False,False,False
6400.0,75000.0,9.0,20.22,0.0,0.0,67.5,5.0,True,False,False
18000.0,65000.0,10.0,6.81,0.0,0.0,77.8,10.0,False,True,False
7000.0,35000.0,10.0,11.35,0.0,2.0,82.3,10.0,False,False,False
7000.0,43680.0,7.0,5.38,0.0,0.0,78.1,3.0,False,False,False
10500.0,66000.0,8.0,20.73,1.0,2.0,51.2,10.0,False,False,False
3500.0,83000.0,6.0,2.31,0.0,0.0,13.4,10.0,False,False,False
6000.0,81000.0,6.0,13.66,1.0,0.0,50.0,0.0,False,True,False
12000.0,126000.0,17.0,13.32,0.0,0.0,54.1,2.0,False,False,False
25000.0,67000.0,6.0,14.15,0.0,0.0,91.2,10.0,True,True,False
19750.0,45000.0,12.0,22.8,0.0,0.0,54.2,4.0,True,False,False
13650.0,66000.0,11.0,24.09,0.0,0.0,56.5,4.0,False,False,False
4200.0,53000.0,15.0,16.91,0.0,0.0,79.7,2.0,False,False,False
16000.0,55000.0,8.0,15.8,0.0,0.0,72.4,4.0,False,True,False
21600.0,60000.0,6.0,16.74,1.0,0.0,78.1,8.0,False,True,False
6000.0,87000.0,12.0,12.86,2.0,0.0,40.5,6.0,False,False,False
10000.0,45900.0,10.0,24.97,0.0,2.0,48.3,2.0,False,False,False
7325.0,42000.0,12.0,22.57,0.0,3.0,65.0,1.0,False,False,False
7750.0,24000.0,4.0,16.1,0.0,1.0,67.1,0.0,True,False,False
11000.0,129000.0,10.0,10.94,0.0,0.0,24.1,10.0,False,True,False
12000.0,105000.0,10.0,13.98,0.0,1.0,75.0,9.0,False,False,False
14400.0,60000.0,15.0,16.92,0.0,1.0,65.0,10.0,False,False,False
1500.0,144000.0,6.0,8.23,1.0,0.0,97.8,10.0,False,False,False
2500.0,29000.0,5.0,18.7,0.0,0.0,66.7,7.0,False,False,False
3500.0,61440.0,6.0,6.46,1.0,0.0,55.5,7.0,False,False,False
18825.0,44000.0,9.0,24.98,0.0,0.0,93.2,4.0,False,True,False
5500.0,59000.0,10.0,6.65,0.0,0.0,43.3,10.0,False,False,False
10000.0,50000.0,5.0,5.88,1.0,2.0,47.6,10.0,False,False,False
12000.0,40000.0,12.0,9.45,0.0,0.0,37.4,7.0,False,False,False
13250.0,52000.0,8.0,23.7,0.0,0.0,91.5,10.0,False,False,False
6000.0,36000.0,5.0,14.43,0.0,1.0,48.5,10.0,False,False,False
10000.0,43000.0,13.0,11.58,0.0,0.0,65.5,10.0,False,False,False
8000.0,150000.0,5.0,2.48,1.0,0.0,56.2,1.0,False,False,False
25000.0,61500.0,11.0,12.6,1.0,0.0,60.8,10.0,True,True,False
20000.0,50000.0,6.0,4.34,0.0,1.0,52.7,10.0,False,False,False
10000.0,84000.0,8.0,13.87,0.0,0.0,68.7,3.0,False,False,False
35000.0,208000.0,11.0,7.94,0.0,0.0,23.5,8.0,False,True,False
8250.0,35004.0,13.0,15.6,2.0,1.0,7.7,2.0,False,True,False
22000.0,73000.0,16.0,22.47,0.0,1.0,85.1,5.0,False,False,False
16000.0,54000.0,9.0,16.89,0.0,0.0,56.2,8.0,False,True,False
21500.0,59000.0,13.0,22.86,0.0,1.0,81.8,2.0,False,True,False
9000.0,45000.0,21.0,17.01,1.0,1.0,50.0,4.0,False,False,True
17000.0,65000.0,11.0,16.84,0.0,2.0,62.7,8.0,False,True,False
5800.0,36000.0,9.0,21.67,0.0,1.0,66.9,3.0,False,False,False
10000.0,50000.0,11.0,19.06,0.0,0.0,88.6,4.0,False,False,False
25000.0,85000.0,7.0,17.15,1.0,1.0,87.9,3.0,False,True,False
35000.0,105000.0,9.0,16.53,0.0,0.0,25.0,9.0,False,True,False
4125.0,36000.0,5.0,17.73,0.0,4.0,37.6,10.0,False,True,False
9800.0,67000.0,14.0,21.01,0.0,2.0,44.9,4.0,False,False,False
12000.0,54000.0,10.0,17.07,0.0,1.0,61.0,4.0,False,False,False
8000.0,50000.0,10.0,16.34,1.0,1.0,81.2,10.0,False,False,False
20000.0,60000.0,13.0,9.46,0.0,2.0,41.0,10.0,True,True,False
18800.0,82000.0,14.0,13.76,1.0,0.0,17.3,3.0,False,False,False
4000.0,35000.0,7.0,9.22,0.0,0.0,83.5,4.0,False,False,False
11300.0,36000.0,9.0,16.33,0.0,1.0,74.7,7.0,False,False,False
6000.0,47000.0,8.0,14.43,0.0,3.0,31.4,7.0,False,False,False
4200.0,43000.0,9.0,10.13,0.0,1.0,77.0,9.0,True,True,False
5400.0,75000.0,6.0,8.8,0.0,0.0,68.7,10.0,False,False,False
15000.0,110000.0,12.0,21.99,2.0,0.0,84.1,1.0,True,False,False
15000.0,66000.0,10.0,8.49,2.0,2.0,89.1,10.0,False,False,False
6000.0,62691.0,5.0,3.16,0.0,0.0,94.4,10.0,False,False,False
35000.0,85000.0,10.0,16.39,0.0,2.0,76.5,3.0,True,True,False
12000.0,40000.0,15.0,16.2,0.0,2.0,74.4,10.0,False,False,False
21250.0,37000.0,8.0,14.27,0.0,1.0,69.3,5.0,True,False,False
6000.0,31000.0,5.0,20.13,0.0,1.0,93.0,5.0,False,True,False
4000.0,30000.0,8.0,17.6,0.0,1.0,5.5,6.0,True,False,False
13000.0,50000.0,13.0,20.11,0.0,0.0,40.6,10.0,False,False,False
5000.0,98000.0,11.0,19.63,0.0,1.0,53.3,7.0,False,False,False
18000.0,96000.0,16.0,16.4,0.0,0.0,46.6,8.0,False,False,False
7000.0,52000.0,11.0,18.16,0.0,0.0,94.8,3.0,False,False,False
2400.0,59393.0,12.0,13.7,0.0,1.0,44.1,4.0,False,False,False
18500.0,68000.0,12.0,20.89,0.0,0.0,87.8,10.0,False,True,False
1800.0,117000.0,5.0,15.86,0.0,0.0,60.8,7.0,False,False,False
8000.0,48000.0,10.0,15.33,2.0,2.0,38.5,5.0,False,False,False
12375.0,40000.0,27.0,20.88,0.0,0.0,22.5,5.0,True,True,False
9600.0,156000.0,16.0,15.54,0.0,3.0,18.9,6.0,False,False,False
16950.0,50000.0,12.0,14.47,0.0,1.0,78.5,10.0,False,True,False
10800.0,110000.0,10.0,2.67,0.0,0.0,69.1,6.0,False,False,False
22400.0,85000.0,14.0,7.02,2.0,1.0,58.7,6.0,True,True,False
6000.0,30000.0,4.0,7.2,0.0,0.0,72.5,4.0,False,False,False
27050.0,65000.0,12.0,19.75,0.0,0.0,80.2,5.0,False,True,False
12000.0,30000.0,8.0,18.76,1.0,0.0,98.6,1.0,False,True,False
13000.0,65000.0,18.0,17.11,0.0,2.0,81.1,6.0,False,False,False
7600.0,50000.0,13.0,6.29,0.0,0.0,40.6,5.0,False,True,False
3600.0,44004.0,3.0,5.59,1.0,1.0,75.7,7.0,False,False,False
3500.0,84996.0,6.0,5.36,2.0,0.0,45.7,10.0,False,False,False
12000.0,38500.0,15.0,10.91,2.0,1.0,85.0,1.0,False,True,False
5000.0,110000.0,10.0,6.38,0.0,0.0,70.3,6.0,False,False,False
12000.0,45000.0,9.0,8.85,0.0,0.0,70.0,4.0,False,False,False
21000.0,90000.0,8.0,8.76,2.0,0.0,82.2,0.0,False,True,False
18000.0,70000.0,16.0,17.76,0.0,1.0,34.3,9.0,False,False,False
14100.0,43000.0,7.0,4.83,0.0,3.0,70.5,4.0,False,True,False
35000.0,140000.0,14.0,4.29,2.0,2.0,75.4,10.0,False,True,False
25000.0,95000.0,15.0,15.56,2.0,0.0,48.8,7.0,False,True,False
4400.0,80000.0,4.0,2.65,0.0,0.0,99.1,7.0,False,False,False
35000.0,71316.0,13.0,14.79,1.0,1.0,75.5,10.0,True,True,False
7200.0,34000.0,10.0,17.51,0.0,0.0,48.8,5.0,False,False,False
13000.0,36000.0,7.0,10.9,0.0,1.0,80.9,10.0,False,False,False
14000.0,32000.0,5.0,16.28,0.0,2.0,87.0,10.0,False,True,False
9000.0,50000.0,3.0,1.99,3.0,0.0,42.4,7.0,False,False,False
12000.0,63000.0,13.0,20.67,0.0,0.0,64.1,10.0,True,True,False
26400.0,150000.0,8.0,3.23,0.0,2.0,56.3,0.0,False,True,False
7000.0,75000.0,10.0,21.66,0.0,1.0,88.6,3.0,False,True,False
3000.0,105000.0,8.0,7.25,1.0,2.0,79.6,3.0,False,False,False
5000.0,35000.0,8.0,13.92,0.0,0.0,30.5,10.0,False,False,False
15700.0,60000.0,12.0,9.12,0.0,0.0,89.9,0.0,True,True,False
9600.0,105000.0,9.0,10.19,0.0,0.0,93.9,2.0,False,False,False
8000.0,88000.0,7.0,3.25,1.0,0.0,51.1,3.0,False,True,False
2250.0,16000.0,7.0,18.75,0.0,0.0,61.2,6.0,False,False,False
17050.0,53000.0,8.0,23.64,0.0,1.0,59.4,10.0,False,False,False
16500.0,110000.0,12.0,10.22,0.0,1.0,70.2,2.0,False,False,False
12000.0,70000.0,9.0,6.02,0.0,0.0,50.0,10.0,False,False,False
2400.0,25000.0,14.0,17.71,1.0,2.0,35.2,1.0,False,False,False
7000.0,22000.0,12.0,17.45,3.0,1.0,25.7,10.0,False,False,False
6750.0,48000.0,4.0,1.0,2.0,2.0,4.8,2.0,False,False,False
15000.0,75000.0,10.0,21.6,0.0,1.0,46.9,3.0,False,False,False
10625.0,30000.0,11.0,23.2,0.0,0.0,70.4,0.0,True,False,False
5000.0,90000.0,8.0,3.92,0.0,0.0,83.1,4.0,True,True,False
8075.0,35000.0,3.0,10.73,0.0,2.0,0.0,10.0,False,True,False
24000.0,77000.0,11.0,24.78,0.0,1.0,60.7,10.0,False,False,False
14000.0,76800.0,4.0,6.83,2.0,0.0,75.1,10.0,False,True,False
30000.0,137000.0,6.0,8.73,1.0,2.0,74.0,0.0,False,True,False
6000.0,23040.0,6.0,12.66,0.0,0.0,62.3,0.0,True,False,False
35000.0,99224.88,8.0,12.07,0.0,2.0,49.4,10.0,False,True,False
