,gender,race,age,height,Colorblind
0,female,black,29,145.95,False
1,male,black,28,161.83,False
2,male,asian,21,160.87,False
3,female,white,21,164.64,False
4,male,asian,21,158.88,False
5,female,white,21,160.52,False
6,male,asian,21,163.14,False
7,male,asian,21,157.95,False
8,male,asian,21,159.91,False
9,female,white,21,159.78,False
10,female,asian,19,148.8,False
11,female,asian,19,139.95,False
12,male,asian,21,165.94,False
13,male,black,28,166.74,False
14,female,white,21,158.71,False
15,male,asian,21,159.35,False
16,female,asian,19,149.83,False
17,female,asian,19,162.96,False
18,female,asian,19,163.45,False
19,male,asian,21,169.57,False
20,female,asian,19,167.13,False
21,male,black,28,159.54,False
22,male,black,28,171.05,False
23,female,asian,19,170.88,False
24,male,white,14,151.94,False
25,female,asian,19,167.65,False
26,male,asian,21,162.45,False
27,female,white,21,173.35,False
28,male,white,14,176.96,False
29,female,asian,19,157.36,False
30,male,black,28,150.77,False
31,male,asian,21,154.2,False
32,male,white,14,166.48,False
33,female,white,21,149.56,False
34,female,black,29,173.95,False
35,female,asian,19,158.82,False
36,female,white,21,159.83,False
37,male,asian,21,158.63,False
38,female,white,21,175.31,False
39,female,asian,19,152.47,False
40,male,asian,21,158.27,False
41,female,asian,19,169.22,False
42,female,black,29,156.43,False
43,female,white,21,153.62,False
44,male,white,14,161.99,False
45,male,black,28,154.34,False
46,male,white,14,157.66,False
47,male,white,14,156.98,False
48,male,asian,21,156.44,False
49,male,black,28,152.32,False
50,female,asian,19,155.47,False
51,male,asian,21,158.51,False
52,female,white,21,154.98,False
53,male,white,14,158.72,False
54,male,asian,21,162.31,False
55,male,white,14,165.72,False
56,male,black,28,157.26,False
57,female,asian,19,166.05,False
58,female,black,29,171.07,False
59,male,black,28,169.7,False
60,male,asian,21,162.75,False
61,female,white,21,166.85,False
62,male,asian,21,165.74,False
63,female,asian,19,170.87,False
64,male,asian,21,172.18,False
65,male,white,14,151.9,False
66,female,asian,19,162.86,False
67,female,asian,19,154.08,False
68,male,white,14,161.95,False
69,female,asian,19,161.86,False
70,male,black,28,175.85,False
71,male,asian,21,157.77,False
72,female,white,21,156.4,False
73,male,black,28,177.1,False
74,male,white,14,164.96,False
75,female,asian,19,170.34,False
76,female,black,29,149.19,False
77,female,asian,19,160.37,False
78,male,asian,21,167.29,False
79,male,asian,21,169.69,False
80,female,black,29,169.89,False
81,female,white,21,152.53,False
82,female,asian,19,155.89,False
83,male,white,14,168.22,True
84,female,white,21,152.36,False
85,female,white,21,160.08,False
86,female,black,29,152.12,False
87,female,asian,19,165.11,False
88,female,white,21,157.96,False
89,female,black,29,167.02,False
90,male,asian,21,154.89,False
91,female,white,21,162.16,False
92,female,asian,19,148.17,False
93,female,asian,19,171.4,False
94,male,black,28,169.06,False
95,male,white,14,156.62,False
96,male,black,28,159.38,False
97,female,white,21,147.24,False
98,female,asian,19,155.47,False
99,female,asian,19,146.06,False
100,male,black,28,163.96,False
101,male,asian,21,159.01,False
102,male,asian,21,164.28,False
103,male,asian,21,147.63,False
104,female,asian,19,152.57,False
105,female,asian,19,158.06,False
106,female,asian,19,160.11,False
107,male,white,14,166.61,False
108,male,white,14,171.24,False
109,male,asian,21,166.47,False
110,female,asian,19,154.17,False
111,female,asian,19,166.26,False
112,male,asian,21,149.41,False
113,female,asian,19,159.26,False
114,male,asian,21,142.16,False
115,male,asian,21,162.63,False
116,female,asian,19,162.62,False
117,female,asian,19,160.01,False
118,female,white,21,168.87,False
119,female,white,21,161.55,False
120,male,white,14,148.3,False
121,male,white,14,177.13,False
122,male,asian,21,167.01,False
123,male,black,28,150.76,False
124,male,asian,21,164.74,False
125,male,black,28,161.19,True
126,female,asian,19,164.07,False
127,female,asian,19,159.86,False
128,female,asian,19,156.56,False
129,male,white,14,162.13,False
130,female,white,21,154.38,False
131,female,white,21,158.78,False
132,female,black,29,154.32,False
133,male,black,28,172.37,False
134,female,white,21,171.19,False
135,male,asian,21,162.55,False
136,female,white,21,153.47,False
137,female,asian,19,149.15,False
138,female,black,29,143.89,False
139,male,black,28,144.29,False
140,female,asian,19,183.35,False
141,female,black,29,160.7,False
142,male,white,14,165.95,False
143,female,asian,19,162.56,False
144,female,asian,19,157.62,False
145,male,asian,21,153.63,False
146,female,white,21,149.76,False
147,male,black,28,152.34,False
148,female,white,21,161.86,False
149,male,asian,21,158.17,False
150,female,asian,19,151.23,False
151,female,black,29,161.06,False
152,male,white,14,166.77,False
153,female,asian,19,163.66,False
154,male,asian,21,160.22,False
155,male,hispanic,23,154.36,False
156,female,white,21,166.8,False
157,female,asian,19,158.49,False
158,female,white,21,156.1,False
159,female,asian,19,159.93,False
