Incidence Rate Report for United States by County

"Kidney & Renal Pelvis, 2011-2015"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1,10)",00000,***,16.4 ,16.3, 16.4,58599,rising,0.8 ,0.6, 0.9
"Cass County, Illinois(6,10)",17017,***,41.1 ,28, 58.5,7,rising,35.1 ,19.0, 53.4
"Union County, Florida(6,10)",12125,***,38.7 ,26.6, 54.9,7,stable,-16.9 ,-37.4, 10.4
"Greene County, Illinois(6,10)",17061,***,37.5 ,24.7, 54.9,6,stable,28.7 ,-19.6, 106.1
"Benton County, Mississippi(6,10)",28009,***,36.6 ,21.2, 59.1,4,stable,23.4 ,-1.4, 54.4
"Hamilton County, Illinois(6,10)",17065,***,36.3 ,22.1, 57.2,4,stable,2.5 ,-43.0, 84.2
"Holmes County, Mississippi(6,10)",28051,***,36.2 ,25.1, 50.6,7,stable,35.1 ,-15.2, 115.1
"Dawson County, Texas(6,10)",48115,***,36.2 ,23.5, 53.4,5,stable,-5.2 ,-37.9, 44.8
"Powell County, Kentucky(7)",21197,***,35.8 ,22.5, 54.3,5,*,*,*,*
"Edmonson County, Kentucky(7,8)",21061,***,34.4 ,22.2, 51.3,5,rising,8.1 ,2.7, 13.8
"Nolan County, Texas(6,10)",48353,***,34.2 ,22.8, 49.5,6,stable,26.5 ,-25.6, 115.0
"Henry County, Kentucky(7,8)",21103,***,34.1 ,23, 49,6,rising,6.2 ,0.7, 12.0
"Sunflower County, Mississippi(6,10)",28133,***,33.8 ,24.6, 45.4,9,stable,-6.3 ,-42.9, 53.7
"Clay County, Illinois(6,10)",17025,***,33.3 ,21.3, 49.8,5,stable,-14.9 ,-55.9, 64.2
"Roosevelt County, Montana(6,10)",30085,***,33.1 ,18.8, 53.8,3,*,*,*,*
"Johnson County, Illinois(6,10)",17087,***,31.8 ,20.3, 48,5,stable,-4.2 ,-36.9, 45.5
"Owen County, Kentucky(7)",21187,***,31.8 ,19.1, 50.2,4,*,*,*,*
"Webster County, Mississippi(6,10)",28155,***,31.8 ,18.7, 50.7,4,stable,-7.4 ,-30.5, 23.3
"Harrison County, Missouri(6,10)",29081,***,31.4 ,17.2, 52.9,3,*,*,*,*
"Martin County, Indiana(6,10)",18101,***,30.9 ,18.9, 48.4,4,stable,9.1 ,-31.3, 73.2
"Iberville Parish, Louisiana(7,8)",22047,***,30.9 ,23.2, 40.4,11,stable,4.5 ,0.0, 9.2
"Wayne County, Missouri(6,10)",29223,***,30.9 ,20.3, 45.6,6,stable,19.3 ,-54.2, 210.4
"Wilbarger County, Texas(6,10)",48487,***,30.8 ,19.5, 46.5,5,stable,-16.2 ,-45.3, 28.5
"Clay County, Kentucky(7,8)",21051,***,30.7 ,21.3, 42.9,7,rising,7.7 ,0.9, 14.9
"McLean County, Kentucky(7)",21149,***,30.7 ,18.1, 49.2,4,*,*,*,*
"Osceola County, Michigan(6,10)",26133,***,30.7 #  ,22.3, 41.4,10,stable,-6.6 ,-24.9, 16.0
"St. Helena Parish, Louisiana(7,8)",22091,***,30.5 ,18, 48.6,4,stable,4.9 ,-2.8, 13.2
"Choctaw County, Oklahoma(6,10)",40023,***,30.5 ,19.6, 45.3,6,stable,-8.1 ,-33.1, 26.2
"Coleman County, Texas(6,10)",48083,***,30.4 ,18.1, 49.2,4,stable,1.5 ,-33.9, 55.9
"Swain County, North Carolina(6,10)",37173,***,30.3 ,19.5, 45.2,5,rising,31.1 ,2.1, 68.3
"Pointe Coupee Parish, Louisiana(7,8)",22077,***,30.3 ,21.5, 41.7,9,stable,3.2 ,-2.1, 8.8
"Brooks County, Georgia(7,8)",13027,***,30.2 ,20.5, 43.4,6,rising,7.9 ,2.5, 13.7
"Carroll County, Missouri(6,10)",29033,***,30.2 ,18.1, 48.1,4,stable,-12.3 ,-51.2, 57.7
"Henry County, Alabama(6,10)",01067,***,29.9 ,20, 43.1,7,stable,-16.0 ,-46.1, 31.0
"Benewah County, Idaho(6,10)",16009,***,29.8 ,17.6, 48.4,4,stable,6.4 ,-23.4, 47.7
"Hale County, Alabama(6,10)",01065,***,29.7 ,18.9, 44.6,5,stable,3.8 ,-29.5, 52.9
"Amelia County, Virginia(6,10)",51007,***,29.7 ,18.4, 45.8,5,stable,5.6 ,-44.6, 101.5
"Glacier County, Montana(6,10)",30035,***,29.7 ,17.8, 46.5,4,stable,5.3 ,-25.5, 48.9
"Leake County, Mississippi(6,10)",28079,***,29.7 ,20.9, 41,8,stable,-3.8 ,-34.3, 40.9
"Allen Parish, Louisiana(7,8)",22003,***,29.6 ,21.1, 40.3,8,rising,5.8 ,0.6, 11.2
"Webster County, Kentucky(7)",21233,***,29.5 ,18.9, 44.4,5,*,*,*,*
"Mingo County, West Virginia(6,10)",54059,***,29.5 ,21.3, 40,9,stable,-10.5 ,-24.9, 6.8
"Crittenden County, Kentucky(7)",21055,***,29.5 ,16.3, 49.3,3,*,*,*,*
"Richmond County, Virginia(6,10)",51159,***,29.5 ,17.2, 48.1,4,stable,-2.6 ,-47.8, 81.6
"Madison Parish, Louisiana(7)",22065,***,29.4 ,17.1, 46.9,4,*,*,*,*
"Owen County, Indiana(6,10)",18119,***,29.3 ,20.7, 40.7,8,stable,3.0 ,-40.2, 77.4
"Vermilion Parish, Louisiana(7,8)",22113,***,29.2 ,23.5, 36,18,rising,5.2 ,1.8, 8.7
